IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train Accuracy,Mean Validation Accuracy,Test Accuracy,Convergence Speed
2.0,1,0.7,100000.0,0.0,0.649,0.58,0.743,7.8562
2.0,1,0.7,100000.0,0.5,0.815,0.783,0.8,7.9702
2.0,1,0.7,100000.0,0.9,0.696,0.717,0.743,7.8609
2.0,8,0.05,10000.0,0.0,0.598,0.572,0.771,0.8293
2.0,8,0.05,10000.0,0.5,0.761,0.667,0.743,0.8383
2.0,8,0.05,10000.0,0.9,0.804,0.797,0.6,0.9309
2.0,8,0.05,40000.0,0.0,0.728,0.688,0.714,3.3221
2.0,8,0.05,40000.0,0.5,0.92,0.906,0.714,3.4393
2.0,8,0.05,40000.0,0.9,0.862,0.833,0.914,3.3203
2.0,8,0.05,100000.0,0.0,0.935,0.928,0.857,8.244
2.0,8,0.05,100000.0,0.5,0.895,0.862,0.829,8.2913
2.0,8,0.05,100000.0,0.9,0.92,0.913,0.743,8.2811
2.0,8,0.1,10000.0,0.0,0.594,0.587,0.571,0.8296
2.0,8,0.1,10000.0,0.5,0.819,0.812,0.686,0.8279
2.0,8,0.1,10000.0,0.9,0.779,0.732,0.743,0.8289
2.0,8,0.1,40000.0,0.0,0.79,0.783,0.429,3.296
2.0,8,0.1,40000.0,0.5,0.906,0.877,0.943,3.3539
2.0,8,0.1,40000.0,0.9,0.899,0.877,0.829,3.3035
2.0,8,0.1,100000.0,0.0,0.855,0.899,0.486,8.3084
2.0,8,0.1,100000.0,0.5,0.884,0.848,0.914,8.2726
2.0,8,0.1,100000.0,0.9,0.906,0.906,0.943,8.2527
2.0,8,0.5,10000.0,0.0,0.71,0.638,0.657,0.8304
2.0,8,0.5,10000.0,0.5,0.75,0.739,0.8,0.827
2.0,8,0.5,10000.0,0.9,0.793,0.812,0.914,0.873
2.0,8,0.5,40000.0,0.0,0.844,0.819,0.743,3.3905
2.0,8,0.5,40000.0,0.5,0.728,0.754,0.629,3.3267
2.0,8,0.5,40000.0,0.9,0.844,0.826,0.629,3.306
2.0,8,0.5,100000.0,0.0,0.92,0.87,0.686,8.2451
2.0,8,0.5,100000.0,0.5,0.909,0.884,0.771,8.2432
2.0,8,0.5,100000.0,0.9,0.877,0.848,0.857,8.2384
2.0,8,0.7,10000.0,0.0,0.681,0.623,0.714,0.8332
2.0,8,0.7,10000.0,0.5,0.743,0.703,0.6,0.8327
2.0,8,0.7,10000.0,0.9,0.681,0.652,0.486,0.8284
2.0,8,0.7,40000.0,0.0,0.678,0.703,0.743,3.2957
2.0,8,0.7,40000.0,0.5,0.859,0.884,0.771,3.4137
2.0,8,0.7,40000.0,0.9,0.87,0.862,0.571,3.3174
2.0,8,0.7,100000.0,0.0,0.909,0.855,0.8,8.258
2.0,8,0.7,100000.0,0.5,0.895,0.899,0.8,8.307
2.0,8,0.7,100000.0,0.9,0.837,0.862,0.829,8.2733
2.0,16,0.05,10000.0,0.0,0.652,0.638,0.657,0.8579
2.0,16,0.05,10000.0,0.5,0.793,0.783,0.543,0.897
2.0,16,0.05,10000.0,0.9,0.83,0.79,0.829,0.8631
2.0,16,0.05,40000.0,0.0,0.743,0.725,0.857,3.4295
2.0,16,0.05,40000.0,0.5,0.92,0.891,0.857,3.4845
2.0,16,0.05,40000.0,0.9,0.913,0.928,0.886,3.4245
2.0,16,0.05,100000.0,0.0,0.902,0.884,0.829,8.5552
2.0,16,0.05,100000.0,0.5,0.884,0.906,0.8,8.5967
2.0,16,0.05,100000.0,0.9,0.895,0.855,0.914,8.6028
2.0,16,0.1,10000.0,0.0,0.583,0.572,0.743,0.862
2.0,16,0.1,10000.0,0.5,0.757,0.71,0.714,0.8631
2.0,16,0.1,10000.0,0.9,0.819,0.797,0.857,0.8635
2.0,16,0.1,40000.0,0.0,0.862,0.804,0.943,3.4314
2.0,16,0.1,40000.0,0.5,0.888,0.855,0.829,3.433
