IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train MSE,Mean Validation MSE,Test MSE,Convergence Speed
1.5,1,0.7,10000.0,0.0,51.235,66.385,14.093,0.5105
1.5,1,0.7,10000.0,0.5,14.31,16.689,11.3,0.5495
1.5,1,0.7,10000.0,0.9,27.812,23.451,14.585,0.5167
1.5,1,0.7,40000.0,0.0,18.103,24.884,7.272,2.0515
1.5,1,0.7,40000.0,0.5,15.582,21.718,15.413,2.1614
1.5,1,0.7,40000.0,0.9,13.459,18.76,38.957,2.0579
1.5,1,0.7,100000.0,0.0,15.509,22.185,13.999,5.1288
1.5,1,0.7,100000.0,0.5,29.961,29.253,6.106,5.261
1.5,1,0.7,100000.0,0.9,10.762,13.436,6.175,5.116
1.5,8,0.05,10000.0,0.0,17.514,20.054,14.773,0.5238
1.5,8,0.05,10000.0,0.5,17.469,20.653,15.143,0.5274
1.5,8,0.05,10000.0,0.9,17.526,20.008,15.552,0.5267
1.5,8,0.05,40000.0,0.0,16.106,18.051,12.577,2.0869
1.5,8,0.05,40000.0,0.5,16.175,19.577,13.395,2.1774
1.5,8,0.05,40000.0,0.9,16.015,18.561,13.216,2.6758
1.5,8,0.05,100000.0,0.0,14.849,17.248,11.366,5.7915
1.5,8,0.05,100000.0,0.5,14.97,18.203,11.163,5.3461
1.5,8,0.05,100000.0,0.9,14.853,17.321,11.343,5.2716
1.5,8,0.1,10000.0,0.0,16.701,19.312,13.878,0.5241
1.5,8,0.1,10000.0,0.5,16.782,18.952,14.452,0.5345
1.5,8,0.1,10000.0,0.9,16.842,18.804,13.477,0.5312
1.5,8,0.1,40000.0,0.0,15.201,17.808,11.579,2.0938
1.5,8,0.1,40000.0,0.5,15.338,17.147,11.66,2.1043
1.5,8,0.1,40000.0,0.9,15.337,18.584,11.639,2.203
1.5,8,0.1,100000.0,0.0,13.618,15.505,9.531,5.3384
1.5,8,0.1,100000.0,0.5,13.446,16.053,11.027,5.2595
1.5,8,0.1,100000.0,0.9,13.482,15.74,9.803,5.4029
1.5,8,0.5,10000.0,0.0,15.545,19.681,12.417,0.5294
1.5,8,0.5,10000.0,0.5,14.998,16.801,12.734,0.5293
1.5,8,0.5,10000.0,0.9,15.596,16.454,11.526,0.5231
1.5,8,0.5,40000.0,0.0,13.57,18.518,13.968,2.1053
1.5,8,0.5,40000.0,0.5,11.892,15.001,8.189,2.1011
1.5,8,0.5,40000.0,0.9,12.112,14.084,8.285,2.0923
1.5,8,0.5,100000.0,0.0,10.373,13.387,7.581,5.259
1.5,8,0.5,100000.0,0.5,10.503,13.364,6.604,5.2985
1.5,8,0.5,100000.0,0.9,13.646,19.325,7.077,5.284
1.5,8,0.7,10000.0,0.0,15.883,16.017,11.367,0.5227
1.5,8,0.7,10000.0,0.5,14.197,16.985,11.789,0.5254
1.5,8,0.7,10000.0,0.9,14.429,16.137,15.708,0.5241
1.5,8,0.7,40000.0,0.0,13.676,19.127,7.969,2.091
1.5,8,0.7,40000.0,0.5,11.821,13.761,7.685,2.2247
1.5,8,0.7,40000.0,0.9,12.025,16.53,9.747,2.1397
1.5,8,0.7,100000.0,0.0,10.572,13.227,7.613,5.5652
1.5,8,0.7,100000.0,0.5,10.891,15.545,7.717,5.2691
1.5,8,0.7,100000.0,0.9,10.021,13.383,12.344,5.3058
1.5,16,0.05,10000.0,0.0,17.44,20.545,14.99,0.538
1.5,16,0.05,10000.0,0.5,17.455,20.494,15.423,0.5707
1.5,16,0.05,10000.0,0.9,17.463,20.284,14.805,0.5505
1.5,16,0.05,40000.0,0.0,16.033,18.353,12.551,2.5664
1.5,16,0.05,40000.0,0.5,16.056,18.223,12.77,2.1487
1.5,16,0.05,40000.0,0.9,16.011,18.606,13.002,2.1383
